claim_id,policy_id,agent_id,claim_type,claim_date,resolution_date,claim_amount,approved_amount,status,region,days_to_resolve
CLM000001,POL004786,AGT09007,Theft,2021-06-14,2021-08-06,34808.55,0,Closed,Saskatchewan,53
CLM000002,POL008947,AGT09543,Fire,2024-08-28,2024-10-12,35881.27,22543.68,Open,British Columbia,45
CLM000003,POL008336,AGT03351,Water Damage,2023-12-10,2024-04-03,14368.07,3823.99,Open,Quebec,115
CLM000004,POL004986,AGT09102,Wind/Hail,2025-12-12,2026-01-09,60612.12,50142.96,In Review,Quebec,28
CLM000005,POL004113,AGT01136,Flood,2025-04-03,2025-04-16,58869.96,52026.58,Denied,Alberta,13
CLM000006,POL006565,AGT01502,Wind/Hail,2025-03-04,2025-05-11,1036.72,0,Open,Saskatchewan,68
CLM000007,POL005885,AGT02237,Fire,2023-08-31,2023-09-30,1194.36,17.21,Open,Alberta,30
CLM000008,POL003776,AGT00655,Fire,2022-04-16,2022-08-12,9185.25,7524.95,In Review,British Columbia,118
CLM000009,POL004962,AGT09203,Flood,2023-12-19,2024-01-13,31084.03,0,Open,Quebec,25
CLM000010,POL005264,AGT09394,Water Damage,2024-04-10,2024-07-09,49952.17,42663.75,Approved,British Columbia,90
CLM000011,POL008375,AGT04305,Liability,2023-11-17,2023-12-10,21666.84,3566.05,Open,Alberta,23
CLM000012,POL004138,AGT09297,Theft,2024-05-13,2024-08-21,59630.65,7395.62,Denied,British Columbia,100
CLM000013,POL007859,AGT00337,Flood,2022-03-06,2022-06-30,73958.06,22101.91,Closed,Ontario,116
CLM000014,POL009097,AGT07075,Fire,2023-10-16,2023-10-19,13334.03,2485.27,Closed,Manitoba,3
CLM000015,POL005830,AGT07060,Flood,2025-09-20,2025-10-31,54850.29,0,In Review,British Columbia,41
CLM000016,POL000297,AGT08772,Wind/Hail,2022-10-06,2022-11-05,73911.62,13487.25,Approved,Saskatchewan,30
CLM000017,POL000042,AGT01471,Collision,2022-09-25,2022-11-26,4871.06,1644.76,Closed,Alberta,62
CLM000018,POL000859,AGT05259,Flood,2024-04-20,2024-06-25,27584.64,0,Closed,Alberta,66
CLM000019,POL007140,AGT01056,Liability,2024-08-07,2024-11-17,24469.21,11183.96,In Review,Quebec,102
CLM000020,POL009605,AGT07062,Collision,2024-08-22,2024-12-14,39064.36,314.7,In Review,Ontario,114
CLM000021,POL006900,AGT03253,Fire,2024-08-10,2024-11-29,25708.55,3089.54,Open,Manitoba,111
CLM000022,POL008719,AGT02249,Flood,2021-08-18,2021-12-01,12961.13,11609.6,In Review,Manitoba,105
CLM000023,POL004314,AGT03870,Theft,2024-05-06,2024-07-03,21274.23,7021.29,Open,Quebec,58
CLM000024,POL008172,AGT06556,Flood,2023-12-11,2024-03-02,74607.81,53256.57,Closed,British Columbia,82
CLM000025,POL008343,AGT04519,Wind/Hail,2024-10-24,2025-01-27,28244.89,0,Closed,Quebec,95
CLM000026,POL008616,AGT04017,Water Damage,2021-12-06,2022-03-02,26527.99,25041.98,Approved,Manitoba,86
CLM000027,POL004034,AGT09169,Liability,2023-08-21,2023-12-03,2410.13,0,In Review,British Columbia,104
CLM000028,POL003035,AGT07713,Water Damage,2022-04-13,2022-06-22,11683.2,10588.23,Open,Alberta,70
CLM000029,POL001669,AGT09908,Flood,2021-05-10,2021-05-29,24107.14,0,Approved,Quebec,19
CLM000030,POL000044,AGT02972,Theft,2023-10-22,2024-01-01,8213.17,6789.45,Open,Saskatchewan,71
CLM000031,POL003862,AGT02307,Flood,2021-03-19,2021-05-22,9754.91,6007.2,Closed,Manitoba,64
CLM000032,POL001304,AGT07471,Wind/Hail,2021-01-07,2021-04-22,13710.76,2962.79,Open,Saskatchewan,105
CLM000033,POL007377,AGT04773,Water Damage,2025-10-04,2025-10-11,53036.77,50179.91,Denied,Saskatchewan,7
CLM000034,POL002166,AGT05002,Collision,2025-08-10,2025-11-09,43808.35,22748.77,Open,Ontario,91
CLM000035,POL001221,AGT08234,Water Damage,2022-09-20,2022-11-24,60444.46,5564.8,Denied,Manitoba,65
CLM000036,POL005384,AGT03039,Water Damage,2023-01-12,2023-05-10,73101.66,55626.83,Approved,Manitoba,118
CLM000037,POL006752,AGT01106,Fire,2024-07-30,2024-10-02,7816.77,5992.66,Denied,British Columbia,64
CLM000038,POL007722,AGT07757,Water Damage,2025-10-07,2025-12-27,43130.13,35026.81,Approved,Alberta,81
CLM000039,POL005649,AGT00951,Fire,2021-05-23,2021-05-24,32051.4,7791.05,Approved,Quebec,1
CLM000040,POL005117,AGT04645,Fire,2025-09-01,2025-10-30,50105.11,0,Open,Saskatchewan,59
CLM000041,POL000398,AGT04247,Liability,2021-12-29,2022-02-28,68570.95,0,Open,Ontario,61
CLM000042,POL002254,AGT09908,Wind/Hail,2023-01-26,2023-04-07,31365.51,14646.2,Closed,Ontario,71
