policy_id,customer_id,agent_id,policy_type,region,start_date,end_date,premium_amount,status,payment_method,auto_renew
POL000001,CUST000015,AGT06261,Tenant,Alberta,2022-06-06,2023-06-06,3247.16,Active,Credit Card,Yes
POL000002,CUST001394,AGT04711,Home,British Columbia,2022-01-08,2023-01-08,5497.24,Lapsed,Cheque,Yes
POL000003,CUST000209,AGT02084,Auto,British Columbia,2021-06-09,2022-06-09,1879.72,Lapsed,Credit Card,Yes
POL000004,CUST004733,AGT02225,Farm,Manitoba,2024-03-11,2025-03-11,2791.68,Active,Cheque,Yes
POL000005,CUST001913,AGT05193,Home,British Columbia,2023-10-11,2024-10-10,1445.01,Cancelled,Credit Card,No
POL000006,CUST000763,AGT00859,Farm,Alberta,2025-10-03,2026-10-03,4957.82,Cancelled,PAD,Yes
POL000007,CUST000001,AGT05385,Life,Quebec,2021-07-08,2022-07-08,4218.29,Cancelled,PAD,Yes
POL000008,CUST002403,AGT04044,Farm,Ontario,2025-06-24,2026-06-24,6789.05,Cancelled,Credit Card,No
POL000009,CUST006457,AGT08804,Home,Quebec,2024-05-26,2025-05-26,3489.91,Active,Credit Card,Yes
POL000010,CUST002850,AGT04528,Auto,Saskatchewan,2021-08-10,2022-08-10,1266.17,Renewed,EFT,Yes
POL000011,CUST005470,AGT04791,Home,Alberta,2021-06-10,2022-06-10,7536.74,Cancelled,PAD,Yes
POL000012,CUST002150,AGT05701,Commercial,British Columbia,2023-04-13,2024-04-12,5322.15,Active,Credit Card,Yes
POL000013,CUST001446,AGT08107,Auto,Quebec,2024-07-18,2025-07-18,6226.86,Lapsed,PAD,No
POL000014,CUST003058,AGT02069,Home,Saskatchewan,2021-09-25,2022-09-25,7990.49,Cancelled,EFT,No
POL000015,CUST005634,AGT07608,Life,Saskatchewan,2023-04-24,2024-04-23,1118.84,Renewed,EFT,Yes
POL000016,CUST003801,AGT05091,Tenant,Saskatchewan,2021-10-19,2022-10-19,543.88,Lapsed,Credit Card,No
POL000017,CUST003691,AGT02140,Tenant,British Columbia,2024-03-26,2025-03-26,2285.34,Lapsed,Cheque,No
POL000018,CUST000357,AGT07507,Farm,British Columbia,2025-07-09,2026-07-09,524.23,Renewed,EFT,No
POL000019,CUST000949,AGT09411,Auto,Alberta,2025-08-22,2026-08-22,5808.49,Lapsed,PAD,No
POL000020,CUST000370,AGT04393,Home,British Columbia,2022-08-15,2023-08-15,3465.53,Active,EFT,No
POL000021,CUST004259,AGT04190,Tenant,Saskatchewan,2025-05-28,2026-05-28,861.58,Cancelled,EFT,Yes
POL000022,CUST002806,AGT08859,Tenant,Manitoba,2021-12-06,2022-12-06,1274.19,Active,EFT,Yes
POL000023,CUST002723,AGT09992,Life,British Columbia,2022-08-18,2023-08-18,5769.23,Active,Cheque,No
POL000024,CUST002798,AGT07120,Tenant,Manitoba,2021-03-14,2022-03-14,6296.34,Active,EFT,Yes
POL000025,CUST001015,AGT02790,Commercial,Manitoba,2024-04-06,2025-04-06,4300.53,Cancelled,PAD,Yes
POL000026,CUST007819,AGT05888,Auto,British Columbia,2022-07-09,2023-07-09,4537.68,Lapsed,Credit Card,Yes
POL000027,CUST004927,AGT07434,Life,Manitoba,2023-05-06,2024-05-05,5353.63,Lapsed,Credit Card,Yes
POL000028,CUST001445,AGT00819,Life,Ontario,2024-12-29,2025-12-29,5625.69,Active,Cheque,No
POL000029,CUST002770,AGT08579,Home,British Columbia,2022-06-14,2023-06-14,2362.47,Active,Cheque,No
POL000030,CUST002921,AGT05974,Home,Manitoba,2023-06-15,2024-06-14,6596.85,Cancelled,PAD,No
POL000031,CUST002057,AGT04861,Farm,Saskatchewan,2021-03-13,2022-03-13,5237.05,Cancelled,PAD,Yes
